Date,Confirmed positive,Presumptive positive,Negative,Total,Rate of Change,Acceleration,# Doubles,Today's # Days / Doubling,Avg # Days / Doubling,# tested today,# cases recovered,# active cases,# deaths,"100% of NS population, 80% undoc",# days until 100% NS infected,100% date,New cases,Est. active cases (11 days),# active cases in hospital,# hospital cases in ICU,% of active cases in hospital,Ideal doubling rate of change,Doubling rate to avoid hospital collapse,Predicted # days / doubling (max 18),Predicted # total cases,Predicted active cases (11 days),Predicted # active hospital cases,Uh-oh,Estimated free hospital beds,# respirators,# respiratory therapists,# hospital beds,Inpatient days,Occupancy rate,
2020-05-12,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,1271,255,8,,273,240,308,3142,1047310,91.32%,
2020-05-13,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,1300,260,8,,273,240,308,3142,1047310,91.32%,
2020-05-14,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,1329,266,8,,273,240,308,3142,1047310,91.32%,
2020-05-15,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,1359,272,9,,273,240,308,3142,1047310,91.32%,
2020-05-16,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,1390,279,9,,273,240,308,3142,1047310,91.32%,
2020-05-17,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,1422,285,9,,273,240,308,3142,1047310,91.32%,
2020-05-18,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,1454,291,9,,273,240,308,3142,1047310,91.32%,
2020-05-19,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,1487,298,9,,273,240,308,3142,1047310,91.32%,
2020-05-20,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,1520,305,10,,273,240,308,3142,1047310,91.32%,
2020-05-21,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,1555,311,10,,273,240,308,3142,1047310,91.32%,
2020-05-22,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,1590,319,10,,273,240,308,3142,1047310,91.32%,
2020-05-23,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,1626,326,10,,273,240,308,3142,1047310,91.32%,
2020-05-24,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,1662,333,11,,273,240,308,3142,1047310,91.32%,
2020-05-25,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,1700,341,11,,273,240,308,3142,1047310,91.32%,
2020-05-26,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,1738,348,11,,273,240,308,3142,1047310,91.32%,
2020-05-27,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,1778,356,11,,273,240,308,3142,1047310,91.32%,
2020-05-28,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,1818,364,12,,273,240,308,3142,1047310,91.32%,
2020-05-29,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,1859,372,12,,273,240,308,3142,1047310,91.32%,
2020-05-30,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,1901,381,12,,273,240,308,3142,1047310,91.32%,
2020-05-31,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,1944,390,12,,273,240,308,3142,1047310,91.32%,
2020-06-01,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,1988,398,13,,273,240,308,3142,1047310,91.32%,
2020-06-02,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,2033,407,13,,273,240,308,3142,1047310,91.32%,
2020-06-03,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,2079,417,13,,273,240,308,3142,1047310,91.32%,
2020-06-04,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,2126,426,14,,273,240,308,3142,1047310,91.32%,
2020-06-05,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,2174,436,14,,273,240,308,3142,1047310,91.32%,
2020-06-06,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,2223,445,14,,273,240,308,3142,1047310,91.32%,
2020-06-07,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,2273,456,15,,273,240,308,3142,1047310,91.32%,
2020-06-08,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,2325,466,15,,273,240,308,3142,1047310,91.32%,
2020-06-09,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,2377,476,15,,273,240,308,3142,1047310,91.32%,
2020-06-10,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,2431,487,16,,273,240,308,3142,1047310,91.32%,
2020-06-11,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,2486,498,16,,273,240,308,3142,1047310,91.32%,
2020-06-12,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,2542,509,16,,273,240,308,3142,1047310,91.32%,
2020-06-13,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,2600,521,17,,273,240,308,3142,1047310,91.32%,
2020-06-14,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,2659,533,17,,273,240,308,3142,1047310,91.32%,
2020-06-15,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,2719,545,17,,273,240,308,3142,1047310,91.32%,
2020-06-16,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,2780,557,18,,273,240,308,3142,1047310,91.32%,
2020-06-17,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,2843,570,18,,273,240,308,3142,1047310,91.32%,
2020-06-18,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,2907,583,19,,273,240,308,3142,1047310,91.32%,
2020-06-19,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,2973,596,19,,273,240,308,3142,1047310,91.32%,
2020-06-20,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,3040,609,19,,273,240,308,3142,1047310,91.32%,
2020-06-21,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,3109,623,20,,273,240,308,3142,1047310,91.32%,
2020-06-22,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,3179,637,20,,273,240,308,3142,1047310,91.32%,
2020-06-23,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,3251,651,21,,273,240,308,3142,1047310,91.32%,
2020-06-24,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,3325,666,21,,273,240,308,3142,1047310,91.32%,
2020-06-25,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,3400,681,22,,273,240,308,3142,1047310,91.32%,
2020-06-26,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,3477,697,22,,273,240,308,3142,1047310,91.32%,
2020-06-27,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,3555,712,23,,273,240,308,3142,1047310,91.32%,
2020-06-28,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,3636,728,23,,273,240,308,3142,1047310,91.32%,
2020-06-29,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,3718,745,24,,273,240,308,3142,1047310,91.32%,
2020-06-30,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,3802,762,24,,273,240,308,3142,1047310,91.32%,
2020-07-01,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,3888,779,25,,273,240,308,3142,1047310,91.32%,
2020-07-02,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,3976,797,25,,273,240,308,3142,1047310,91.32%,
2020-07-03,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,4066,815,26,,273,240,308,3142,1047310,91.32%,
2020-07-04,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,4158,833,27,,273,240,308,3142,1047310,91.32%,
2020-07-05,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,4252,852,27,,273,240,308,3142,1047310,91.32%,
2020-07-06,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,4348,871,28,,273,240,308,3142,1047310,91.32%,
2020-07-07,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,4446,891,28,,273,240,308,3142,1047310,91.32%,
2020-07-08,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,4547,911,29,,273,240,308,3142,1047310,91.32%,
2020-07-09,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,4650,932,30,,273,240,308,3142,1047310,91.32%,
2020-07-10,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,4755,953,30,,273,240,308,3142,1047310,91.32%,
2020-07-11,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,4862,974,31,,273,240,308,3142,1047310,91.32%,
2020-07-12,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,4972,996,32,,273,240,308,3142,1047310,91.32%,
2020-07-13,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,5085,1019,32,,273,240,308,3142,1047310,91.32%,
2020-07-14,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,5200,1042,33,,273,240,308,3142,1047310,91.32%,
2020-07-15,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,5317,1065,34,,273,240,308,3142,1047310,91.32%,
2020-07-16,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,5438,1089,35,,273,240,308,3142,1047310,91.32%,
2020-07-17,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,5560,1114,36,,273,240,308,3142,1047310,91.32%,
2020-07-18,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,5686,1139,36,,273,240,308,3142,1047310,91.32%,
2020-07-19,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,5815,1165,37,,273,240,308,3142,1047310,91.32%,
2020-07-20,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,5946,1191,38,,273,240,308,3142,1047310,91.32%,
2020-07-21,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,6081,1218,39,,273,240,308,3142,1047310,91.32%,
2020-07-22,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,6218,1246,40,,273,240,308,3142,1047310,91.32%,
2020-07-23,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,6359,1274,41,,273,240,308,3142,1047310,91.32%,
2020-07-24,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,6503,1303,42,,273,240,308,3142,1047310,91.32%,
2020-07-25,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,6650,1332,42,,273,240,308,3142,1047310,91.32%,
2020-07-26,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,6800,1362,43,,273,240,308,3142,1047310,91.32%,
2020-07-27,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,6954,1393,44,,273,240,308,3142,1047310,91.32%,
2020-07-28,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,7111,1425,45,,273,240,308,3142,1047310,91.32%,
2020-07-29,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,7272,1457,46,,273,240,308,3142,1047310,91.32%,
2020-07-30,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,7436,1490,47,,273,240,308,3142,1047310,91.32%,
2020-07-31,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,7604,1524,49,,273,240,308,3142,1047310,91.32%,
2020-08-01,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,7776,1558,50,,273,240,308,3142,1047310,91.32%,
2020-08-02,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,7952,1593,51,,273,240,308,3142,1047310,91.32%,
2020-08-03,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,8132,1629,52,,273,240,308,3142,1047310,91.32%,
2020-08-04,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,8316,1666,53,,273,240,308,3142,1047310,91.32%,
2020-08-05,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,8504,1704,54,,273,240,308,3142,1047310,91.32%,
2020-08-06,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,8696,1742,56,,273,240,308,3142,1047310,91.32%,
2020-08-07,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,8893,1782,57,,273,240,308,3142,1047310,91.32%,
2020-08-08,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,9094,1822,58,,273,240,308,3142,1047310,91.32%,
2020-08-09,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,9299,1863,59,,273,240,308,3142,1047310,91.32%,
2020-08-10,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,9510,1905,61,,273,240,308,3142,1047310,91.32%,
2020-08-11,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,9725,1948,62,,273,240,308,3142,1047310,91.32%,
2020-08-12,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,9945,1993,64,,273,240,308,3142,1047310,91.32%,
2020-08-13,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,10170,2038,65,,273,240,308,3142,1047310,91.32%,
2020-08-14,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,10399,2084,66,,273,240,308,3142,1047310,91.32%,
2020-08-15,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,10635,2131,68,,273,240,308,3142,1047310,91.32%,
2020-08-16,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,10875,2179,69,,273,240,308,3142,1047310,91.32%,
2020-08-17,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,11121,2228,71,,273,240,308,3142,1047310,91.32%,
2020-08-18,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,11372,2279,73,,273,240,308,3142,1047310,91.32%,
2020-08-19,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,11630,2330,74,,273,240,308,3142,1047310,91.32%,
2020-08-20,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,11893,2383,76,,273,240,308,3142,1047310,91.32%,
2020-08-21,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,12161,2437,78,,273,240,308,3142,1047310,91.32%,
2020-08-22,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,12436,2492,79,,273,240,308,3142,1047310,91.32%,
2020-08-23,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,12718,2548,81,,273,240,308,3142,1047310,91.32%,
2020-08-24,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,13005,2606,83,,273,240,308,3142,1047310,91.32%,
2020-08-25,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,13299,2665,85,,273,240,308,3142,1047310,91.32%,
2020-08-26,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,13600,2725,87,,273,240,308,3142,1047310,91.32%,
2020-08-27,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,13908,2787,89,,273,240,308,3142,1047310,91.32%,
2020-08-28,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,14222,2850,91,,273,240,308,3142,1047310,91.32%,
2020-08-29,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,14544,2914,93,,273,240,308,3142,1047310,91.32%,
2020-08-30,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,14872,2980,95,,273,240,308,3142,1047310,91.32%,
2020-08-31,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,15209,3047,97,,273,240,308,3142,1047310,91.32%,
2020-09-01,,,,,,,,,,,,,,184720,,,,,,,,1.5088,31,31,15553,3116,99,,273,240,308,3142,1047310,91.32%,
